"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"1","Greenlights",NA,"Matthew McConaughey","Matthew McConaughey","6 hrs and 42 mins","10-20-20","English","5 out of 5 stars","7,258 ratings","$28.00","https://www.audible.com/pd/Greenlights-Audiobook/0593294181?ref=a_adblbests_c3_lProduct_1_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"2","The Ice Diaries","The Untold Story of the Cold War's Most Daring Mission","Captain William R. Anderson, Don Keith - contributor","Roger Mueller","10 hrs and 1 min","10-15-19","English","5 out of 5 stars","7 ratings","$30.79","https://www.audible.com/pd/The-Ice-Diaries-Audiobook/1401605508?ref=a_adblbests_c3_lProduct_1_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"3","Tiny Habits","The Small Changes That Change Everything","BJ Fogg PhD","BJ Fogg PhD","11 hrs and 22 mins","01-14-20","English","4.5 out of 5 stars","742 ratings","$34.95","https://www.audible.com/pd/Tiny-Habits-Audiobook/B082VKHVCL?ref=a_adblbests_c3_lProduct_1_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"4","A Time for Mercy","A Jack Brigance Novel","John Grisham","Michael Beck","19 hrs and 59 mins","10-13-20","English","5 out of 5 stars","3,558 ratings","$31.50","https://www.audible.com/pd/A-Time-for-Mercy-Audiobook/0593168550?ref=a_adblbests_c3_lProduct_1_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"5","The Sentinel","A Jack Reacher Novel","Lee Child, Andrew Child","Scott Brick","10 hrs and 39 mins","10-27-20","English","4.5 out of 5 stars","1,433 ratings","$31.50","https://www.audible.com/pd/The-Sentinel-Audiobook/059333972X?ref=a_adblbests_c3_lProduct_1_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"6","Clanlands","Whisky, Warfare, and a Scottish Adventure Like No Other","Sam Heughan, Graham McTavish, Diana Gabaldon - foreword","Graham McTavish, Sam Heughan, Diana Gabaldon - foreword","10 hrs and 22 mins","11-03-20","English","5 out of 5 stars","167 ratings","$21.81","https://www.audible.com/pd/Clanlands-Audiobook/1529342015?ref=a_adblbests_c3_lProduct_1_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"7","Ready Player Two","A Novel","Ernest Cline","Wil Wheaton","16 hrs","11-24-20","English",NA,"Not rated yet","$35.00","https://www.audible.com/pd/Ready-Player-Two-Audiobook/0593396960?ref=a_adblbests_c3_lProduct_1_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"8","A Promised Land",NA,"Barack Obama","Barack Obama","29 hrs and 10 mins","11-17-20","English",NA,"Not rated yet","$45.50","https://www.audible.com/pd/A-Promised-Land-Audiobook/0525633723?ref=a_adblbests_c3_lProduct_1_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"9","The Best of Me",NA,"David Sedaris","David Sedaris","13 hrs and 8 mins","11-03-20","English","4 out of 5 stars","15 ratings","$30.79","https://www.audible.com/pd/The-Best-of-Me-Audiobook/1549160761?ref=a_adblbests_c3_lProduct_1_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"10","Atomic Habits","An Easy & Proven Way to Build Good Habits & Break Bad Ones","James Clear","James Clear","5 hrs and 35 mins","10-16-18","English","5 out of 5 stars","47,058 ratings","$28.00","https://www.audible.com/pd/Atomic-Habits-Audiobook/1524779261?ref=a_adblbests_c3_lProduct_1_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"11","Rhythm of War",NA,"Brandon Sanderson","Kate Reading, Michael Kramer","57 hrs and 26 mins","11-17-20","English",NA,"Not rated yet","$66.49","https://www.audible.com/pd/Rhythm-of-War-Audiobook/1250759781?ref=a_adblbests_c3_lProduct_1_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"12","Fortune and Glory","A Novel","Janet Evanovich","Lorelei King","7 hrs and 13 mins","11-03-20","English","4.5 out of 5 stars","199 ratings","$20.99","https://www.audible.com/pd/Fortune-and-Glory-Audiobook/1797113089?ref=a_adblbests_c3_lProduct_1_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"13","Our Time Is Now","Power, Purpose, and the Fight for a Fair America","Stacey Abrams","Stacey Abrams","9 hrs and 20 mins","06-09-20","English","5 out of 5 stars","299 ratings","$31.49","https://www.audible.com/pd/Our-Time-Is-Now-Audiobook/1250772303?ref=a_adblbests_c3_lProduct_1_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"14","Can't Hurt Me","Master Your Mind and Defy the Odds","David Goggins","David Goggins, Adam Skolnick","13 hrs and 37 mins","11-28-18","English","5 out of 5 stars","114,487 ratings","$24.95","https://www.audible.com/pd/Cant-Hurt-Me-Audiobook/B07KKMNZCH?ref=a_adblbests_c3_lProduct_1_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"15","Harry Potter and the Sorcerer's Stone, Book 1",NA,"J.K. Rowling","Jim Dale","8 hrs and 18 mins","11-20-15","English","5 out of 5 stars","123,722 ratings","$29.99","https://www.audible.com/pd/Harry-Potter-and-the-Sorcerers-Stone-Book-1-Audiobook/B017V4IM1G?ref=a_adblbests_c3_lProduct_1_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"16","The Guest List","A Novel","Lucy Foley","Jot Davies, Chloe Massey, Olivia Dowd, Aoife McMahon, Sarah Ovens, Rich Keeble","10 hrs and 22 mins","06-02-20","English","4.5 out of 5 stars","11,413 ratings","$30.79","https://www.audible.com/pd/The-Guest-List-Audiobook/0062985051?ref=a_adblbests_c3_lProduct_1_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"17","Think Like a Monk","Train Your Mind for Peace and Purpose Every Day","Jay Shetty","Jay Shetty","10 hrs and 54 mins","09-08-20","English","5 out of 5 stars","1,667 ratings","$24.49","https://www.audible.com/pd/Think-Like-a-Monk-Audiobook/1797100548?ref=a_adblbests_c3_lProduct_1_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"18","Caste (Oprah's Book Club)","The Origins of Our Discontents","Isabel Wilkerson","Robin Miles","14 hrs and 26 mins","08-04-20","English","5 out of 5 stars","4,079 ratings","$31.50","https://www.audible.com/pd/Caste-Oprahs-Book-Club-Audiobook/0593339800?ref=a_adblbests_c3_lProduct_1_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
"19","Untamed",NA,"Glennon Doyle","Glennon Doyle","8 hrs and 22 mins","03-10-20","English","4.5 out of 5 stars","17,054 ratings","$31.50","https://www.audible.com/pd/Untamed-Audiobook/0593156072?ref=a_adblbests_c3_lProduct_1_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=SFT5FHA3NZ3TTVYWXZJ2"
